Date, Time, 18B20 temp, DHT temp, DHT humidity, BME temp, BME humidity, BLE pressure, Lightness 

2018-07-24,16:36:36,24.75,26.00,61.00,26.33,56.17,100943.33,54.94
2018-07-24,16:39:08,24.75,26.00,61.00,26.51,55.73,100945.75,54.25
2018-07-24,16:42:01,24.69,26.00,61.00,26.44,55.74,100936.50,53.96
2018-07-24,16:45:06,24.62,26.00,61.00,26.39,56.29,100936.26,54.35
2018-07-24,16:47:04,24.62,26.00,61.00,26.20,55.95,100937.02,54.64
2018-07-24,16:47:50,24.56,25.00,61.00,26.18,57.14,100938.47,54.94
2018-07-24,16:47:54,24.62,25.00,61.00,26.18,56.90,100943.44,53.86
2018-07-24,16:50:03,24.58,25.75,61.00,26.34,56.36,100944.07,53.55
2018-07-24,16:52:45,24.62,26.00,61.00,26.18,56.02,100947.55,53.67
2018-07-24,16:58:10,24.49,25.63,61.00,26.26,56.18,100953.89,52.40
2018-07-24,17:01:57,24.50,26.00,61.00,26.07,56.51,100944.39,52.10
2018-07-24,17:07:00,24.41,25.64,61.21,26.15,56.80,100944.03,52.07
2018-07-24,17:13:09,24.25,25.47,61.47,26.03,57.00,100943.90,52.21
2018-07-24,17:19:07,24.20,25.55,61.67,25.95,57.26,100941.67,52.52
2018-07-24,17:25:05,24.12,25.24,61.94,25.88,57.48,100941.50,53.01
2018-07-24,17:31:03,24.05,25.30,61.91,25.83,57.60,100945.71,53.96
2018-07-24,17:37:01,24.02,25.18,61.94,25.80,57.70,100946.71,54.60
2018-07-24,17:43:00,23.97,25.27,61.85,25.75,57.77,100947.03,54.59
2018-07-24,17:49:09,23.95,25.12,61.94,25.72,57.85,100949.01,54.20
2018-07-24,17:55:07,23.91,25.09,61.91,25.67,58.03,100950.23,53.78
2018-07-24,18:00:00,23.87,25.00,62.04,25.62,58.20,100953.42,53.18
2018-07-24,18:06:09,23.83,24.88,62.21,25.59,58.38,100961.32,53.43
2018-07-24,18:12:07,23.79,25.06,62.09,25.54,58.48,100965.68,52.53
2018-07-24,18:18:05,23.76,24.79,62.33,25.52,58.44,100970.49,52.54
2018-07-24,18:24:03,23.73,24.94,62.21,25.49,58.44,100974.24,52.35
2018-07-24,18:30:01,23.71,25.00,62.36,25.46,58.58,100978.29,51.88
2018-07-24,18:36:10,23.70,24.91,62.32,25.44,58.65,100982.24,51.62
2018-07-24,18:42:08,23.66,25.00,62.18,25.40,58.77,100980.95,51.49
2018-07-24,18:48:06,23.62,24.82,62.33,25.36,58.89,100982.08,51.18
2018-07-24,18:54:05,23.60,24.91,62.55,25.35,58.95,100983.20,50.94
2018-07-24,19:00:03,23.59,24.94,62.64,25.33,59.03,100985.50,51.25
2018-07-24,19:06:01,23.57,24.61,62.85,25.32,59.15,100983.14,51.40
2018-07-24,19:12:10,23.55,24.85,62.85,25.30,59.24,100984.51,51.31
2018-07-24,19:18:08,23.53,24.88,62.85,25.29,59.19,100988.29,51.74
2018-07-24,19:24:06,23.50,24.61,63.00,25.26,59.24,100988.67,51.94
2018-07-24,19:30:04,23.48,24.79,63.00,25.25,59.35,100985.62,53.32
2018-07-24,19:36:02,23.47,24.91,63.03,25.22,59.55,100984.52,52.36
2018-07-24,19:42:01,23.48,24.79,63.09,25.22,59.71,100982.77,51.50
2018-07-24,19:48:10,23.43,24.82,63.18,25.20,59.90,100985.46,51.62
2018-07-24,19:54:08,23.44,24.94,63.06,25.20,60.03,100986.02,52.18
2018-07-24,20:00:06,23.44,24.58,63.24,25.19,60.14,100982.24,53.70
2018-07-24,20:06:04,23.48,24.67,63.15,25.22,60.14,100982.32,56.43
2018-07-24,20:12:02,23.58,24.85,63.09,25.33,59.92,100984.58,60.75
2018-07-24,20:18:00,23.78,25.06,62.97,25.53,59.50,100989.68,61.47
2018-07-24,20:24:09,23.94,25.18,62.71,25.65,59.30,100991.36,61.45
2018-07-24,20:30:07,24.00,25.45,62.55,25.74,59.18,100988.99,60.54
2018-07-24,20:36:05,24.04,25.64,62.73,25.76,59.21,100993.88,59.52
2018-07-24,20:42:04,24.08,25.64,62.82,25.79,59.22,100998.46,57.75
2018-07-24,20:48:02,24.10,25.73,62.64,25.78,59.28,101002.32,55.61
2018-07-24,20:54:00,24.07,25.55,62.70,25.77,59.38,101009.07,55.13
2018-07-24,21:00:09,24.06,25.21,62.94,25.74,59.51,101012.53,52.13
2018-07-24,21:06:07,24.02,25.30,63.00,25.70,59.62,101014.01,51.53
2018-07-24,21:12:05,23.95,25.18,63.00,25.64,59.81,101021.66,48.39
2018-07-24,21:18:03,23.90,24.91,63.06,25.58,59.96,101026.88,45.55
2018-07-24,21:24:01,23.83,24.85,63.06,25.52,60.09,101032.29,44.77
2018-07-24,21:30:10,23.74,24.85,63.12,25.45,60.25,101032.08,42.33
2018-07-24,21:36:08,23.70,24.91,63.03,25.40,60.36,101036.63,39.26
2018-07-24,21:42:07,23.65,25.00,63.06,25.35,60.48,101036.82,37.55
2018-07-24,21:48:05,23.59,24.79,63.55,25.29,60.63,101033.21,34.53
2018-07-24,21:54:03,23.55,24.70,63.27,25.25,60.69,101033.46,31.47
2018-07-24,22:00:01,23.49,24.64,63.67,25.20,60.81,101033.42,27.81
2018-07-24,22:06:10,23.44,24.62,63.65,25.16,60.86,101037.35,24.50
2018-07-24,22:12:08,23.38,24.67,63.61,25.11,61.02,101038.91,21.63
2018-07-24,22:18:06,23.33,24.33,64.27,25.06,61.12,101040.58,18.58
2018-07-24,22:24:04,23.29,24.33,64.52,25.01,61.25,101043.60,14.91
2018-07-24,22:30:02,23.26,24.45,64.48,24.98,61.42,101048.60,11.93
